observation_month,observation_month_label,pollutant_key,pollutant_name_uk,sample_count,city_count,avg_q_avg_mg_m3,avg_q_avg_gdk_ratio,max_q_max_gdk_ratio
2024-10-01,2024-10,формальдегiд,Формальдегiд,24,24,0.006207517385882481,2.0691724619608274,1.3228571428571427
2024-10-01,2024-10,nitrogen_dioxide,Дiоксид азоту,33,33,0.058183745522627756,1.4545936380656939,2.0855
2024-10-01,2024-10,phenol,Фенол,14,14,0.0027417183648489932,0.9139061216163312,1.72
2024-10-01,2024-10,suspended_particles,Завислі речовини,33,33,0.13278598616817214,0.8852399077878144,2.2
2024-10-01,2024-10,soot,Сажа,6,6,0.03189333782560128,0.6378667565120256,1.2
2024-10-01,2024-10,nitrogen_oxide,Оксид азоту,22,22,0.03181203907928825,0.5302006513214709,0.475
2024-10-01,2024-10,фтористий_водень,Фтористий водень,9,9,0.0023140658333874373,0.4628131666774874,1.17
2024-10-01,2024-10,carbon_monoxide,Оксид вуглецю,32,32,1.3137606313220773,0.43792021044069246,1.8
2024-10-01,2024-10,sulfur_dioxide,Дiоксид сiрки,33,33,0.019987740543405078,0.39975481086810155,0.442
2024-10-01,2024-10,ammonia,Амiак,13,13,0.015905969302917447,0.39764923257293616,0.44999999999999996
2024-10-01,2024-10,хлористий_водень,Хлористий водень,7,7,0.04937948025835308,0.24689740129176535,1.5534999999999999
2024-10-01,2024-10,сiрководень,Сiрководень,10,10,0.0019783697844523115,,4.875
2024-10-01,2024-10,сульфати,Сульфати,16,16,0.008155618940576962,,
2024-11-01,2024-11,формальдегiд,Формальдегiд,24,24,0.005600284267317347,1.8667614224391145,1.52857142857143
2024-11-01,2024-11,nitrogen_dioxide,Дiоксид азоту,33,33,0.057529900173424055,1.4382475043356022,2.0
2024-11-01,2024-11,phenol,Фенол,14,14,0.002465133325553519,0.82171110851784,1.9
2024-11-01,2024-11,suspended_particles,Завислі речовини,33,33,0.11637391433264402,0.7758260955509606,1.8
2024-11-01,2024-11,soot,Сажа,6,6,0.029215214932126688,0.5843042986425341,1.33333333333333
2024-11-01,2024-11,nitrogen_oxide,Оксид азоту,22,22,0.03146937963086424,0.5244896605144042,0.675
2024-11-01,2024-11,фтористий_водень,Фтористий водень,9,9,0.002441771205893554,0.48835424117871074,1.03
2024-11-01,2024-11,carbon_monoxide,Оксид вуглецю,32,32,1.1918379964011023,0.39727933213370054,1.6
2024-11-01,2024-11,sulfur_dioxide,Дiоксид сiрки,33,33,0.01975126998113234,0.39502539962264677,0.3002
2024-11-01,2024-11,ammonia,Амiак,13,13,0.014712727023323628,0.3678181755830906,0.6
2024-11-01,2024-11,хлористий_водень,Хлористий водень,7,7,0.046340799023357006,0.2317039951167851,1.728
2024-11-01,2024-11,сiрководень,Сiрководень,10,10,0.001902970542979519,,4.5
2024-11-01,2024-11,сульфати,Сульфати,16,16,0.008058920347944745,,
2025-02-01,2025-02,озон,Озон,1,1,0.05142772277227726,1.7142574257425753,0.645
2025-02-01,2025-02,формальдегiд,Формальдегiд,24,24,0.004825563239195749,1.608521079731916,1.0857142857142856
2025-02-01,2025-02,nitrogen_dioxide,Дiоксид азоту,33,33,0.060291395188255444,1.5072848797063862,2.1999999999999997
2025-02-01,2025-02,phenol,Фенол,14,14,0.0026223587645927285,0.8741195881975763,2.4
2025-02-01,2025-02,suspended_particles,Завислі речовини,33,33,0.11907229168205823,0.7938152778803882,2.0
2025-02-01,2025-02,soot,Сажа,6,6,0.030277951388888873,0.6055590277777775,1.354
2025-02-01,2025-02,nitrogen_oxide,Оксид азоту,22,22,0.03278125031078009,0.5463541718463348,0.625
2025-02-01,2025-02,фтористий_водень,Фтористий водень,9,9,0.002061687593378979,0.4123375186757958,1.15
2025-02-01,2025-02,sulfur_dioxide,Дiоксид сiрки,33,33,0.020389730561684725,0.4077946112336945,0.3442
2025-02-01,2025-02,carbon_monoxide,Оксид вуглецю,32,32,1.2063483639628163,0.40211612132093877,2.0
2025-02-01,2025-02,ammonia,Амiак,13,13,0.015024085931449003,0.37560214828622507,0.65
2025-02-01,2025-02,хлористий_водень,Хлористий водень,7,7,0.042361120384748104,0.21180560192374048,1.343
2025-02-01,2025-02,сiрководень,Сiрководень,10,10,0.0017661785413794965,,4.75
2025-02-01,2025-02,сульфати,Сульфати,16,16,0.009480972928779073,,
2025-03-01,2025-03,озон,Озон,1,1,0.05963145161290322,1.987715053763441,0.8043750000000001
2025-03-01,2025-03,формальдегiд,Формальдегiд,24,24,0.005050662525441151,1.68355417514705,0.9714285714285714
2025-03-01,2025-03,nitrogen_dioxide,Дiоксид азоту,33,33,0.062325596248329916,1.5581399062082482,3.2199999999999998
2025-03-01,2025-03,phenol,Фенол,14,14,0.0026833273959246777,0.8944424653082258,2.3
2025-03-01,2025-03,suspended_particles,Завислі речовини,33,33,0.1268241774351738,0.8454945162344921,2.0
2025-03-01,2025-03,nitrogen_oxide,Оксид азоту,22,22,0.03315990406936881,0.5526650678228134,0.8624999999999999
2025-03-01,2025-03,soot,Сажа,6,6,0.02564358974358973,0.5128717948717946,0.9333333333333335
2025-03-01,2025-03,фтористий_водень,Фтористий водень,9,9,0.0020891657693691587,0.41783315387383174,1.04
2025-03-01,2025-03,sulfur_dioxide,Дiоксид сiрки,33,33,0.020817664761379345,0.41635329522758685,0.3372
2025-03-01,2025-03,carbon_monoxide,Оксид вуглецю,32,32,1.220810137786563,0.406936712595521,1.6
2025-03-01,2025-03,ammonia,Амiак,13,13,0.014764298272706467,0.3691074568176616,0.6
2025-03-01,2025-03,хлористий_водень,Хлористий водень,7,7,0.040982368833957505,0.2049118441697875,1.123
2025-03-01,2025-03,сiрководень,Сiрководень,10,10,0.0018337151436958674,,4.875
2025-03-01,2025-03,сульфати,Сульфати,16,16,0.009658324748168502,,
2025-04-01,2025-04,озон,Озон,1,1,0.07702499999999997,2.567499999999999,0.8724999999999999
2025-04-01,2025-04,формальдегiд,Формальдегiд,24,24,0.005317920977598374,1.7726403258661245,1.8285714285714285
2025-04-01,2025-04,nitrogen_dioxide,Дiоксид азоту,33,33,0.06017381302464578,1.5043453256161445,2.3834999999999997
2025-04-01,2025-04,phenol,Фенол,14,14,0.002655729496944154,0.8852431656480512,2.0
2025-04-01,2025-04,suspended_particles,Завислі речовини,33,33,0.11707764697560918,0.7805176465040612,1.6
2025-04-01,2025-04,nitrogen_oxide,Оксид азоту,22,22,0.03127294001959343,0.5212156669932239,0.6
2025-04-01,2025-04,фтористий_водень,Фтористий водень,9,9,0.0023143001909409463,0.46286003818818927,1.1900000000000002
2025-04-01,2025-04,soot,Сажа,6,6,0.022335490328385044,0.44670980656770093,0.8
2025-04-01,2025-04,carbon_monoxide,Оксид вуглецю,32,32,1.2046450673794626,0.40154835579315423,1.9600000000000002
2025-04-01,2025-04,ammonia,Амiак,13,13,0.01552229276553064,0.388057319138266,0.7499999999999999
2025-04-01,2025-04,sulfur_dioxide,Дiоксид сiрки,33,33,0.018635859981208147,0.37271719962416294,0.5794
2025-04-01,2025-04,хлористий_водень,Хлористий водень,7,7,0.043540133004410564,0.21770066502205282,1.64
2025-04-01,2025-04,сiрководень,Сiрководень,10,10,0.001990143846988698,,4.875
2025-04-01,2025-04,сульфати,Сульфати,16,16,0.008394017662302241,,
2025-05-01,2025-05,озон,Озон,1,1,0.07999435483870966,2.6664784946236555,0.91625
2025-05-01,2025-05,формальдегiд,Формальдегiд,24,24,0.005400669942848254,1.800223314282751,2.7428571428571424
2025-05-01,2025-05,nitrogen_dioxide,Дiоксид азоту,33,33,0.059471078835820174,1.4867769708955043,2.5014999999999996
2025-05-01,2025-05,phenol,Фенол,14,14,0.002501320009809305,0.8337733366031016,1.9699999999999998
2025-05-01,2025-05,suspended_particles,Завислі речовини,33,33,0.11361248395512498,0.7574165597008332,1.4
2025-05-01,2025-05,nitrogen_oxide,Оксид азоту,22,22,0.03178302835933334,0.5297171393222223,0.5499999999999999
2025-05-01,2025-05,фтористий_водень,Фтористий водень,9,9,0.0023266227426266524,0.4653245485253304,1.21
2025-05-01,2025-05,soot,Сажа,6,6,0.02003186360964138,0.4006372721928276,1.0
2025-05-01,2025-05,carbon_monoxide,Оксид вуглецю,32,32,1.1369082220072522,0.37896940733575074,2.184
2025-05-01,2025-05,ammonia,Амiак,13,13,0.014747674050626257,0.36869185126565635,0.6
2025-05-01,2025-05,sulfur_dioxide,Дiоксид сiрки,33,33,0.01825023262655098,0.3650046525310196,0.208
2025-05-01,2025-05,хлористий_водень,Хлористий водень,7,7,0.04652507978903813,0.23262539894519066,1.444
2025-05-01,2025-05,сiрководень,Сiрководень,10,10,0.001844743964362306,,4.375
2025-05-01,2025-05,сульфати,Сульфати,16,16,0.008222923141673145,,
